gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_001012288|CRLF2,0,0,0,0,0,0,0,0,1,0,0,0
NM_022148|CRLF2,0,0,0,3,0,0,4,0,1,0,0,0
NR_110830|CRLF2,8,7,0,1,4,0,4,3,4,3,0,5
NM_001161532|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_006140|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_172245|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_172246|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_172249|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NR_027760|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161530|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NM_172247|CSF2RA,0,0,0,0,0,0,0,0,0,0,0,0
NR_037461|MIR3690,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161529|CSF2RA,3,0,3,1,0,2,0,4,0,0,0,7
NM_001161531|CSF2RA,1,0,0,0,0,0,0,0,0,0,0,0
NR_027231|LINC00685,0,0,0,0,0,0,0,0,0,0,0,0
NR_028057|PLCXD1,4,0,38,46,55,0,3,4,46,1,4,11
NM_018390|PLCXD1,3442,2194,2588,1438,812,1750,2788,732,1641,772,1331,2158
NM_012227|GTPBP6,941,645,1132,877,1185,259,1397,1020,1659,504,998,1202
NR_027232|LINC00685,37,22,34,9,7,10,17,10,37,8,23,33
NM_013239|PPP2R3B,182,132,164,233,130,60,215,44,257,84,69,197
NM_001173474|ASMTL,0,0,0,0,0,0,0,0,0,0,0,0
NM_001173473|ASMTL,0,0,0,2,0,0,0,1,0,0,0,6
NR_130733|LINC00106,19,18,14,5,7,4,16,5,15,4,8,7
NR_026711|ASMTL-AS1,106,71,23,41,49,0,91,28,74,4,36,14
NR_026710|ASMTL-AS1,68,70,117,27,40,21,48,31,43,28,22,24
NM_004192|ASMTL,1715,742,1479,1746,715,473,892,786,1469,688,568,1298
NM_001267713|IL3RA,0,6,0,0,13,0,27,41,84,0,0,32
NM_002183|IL3RA,574,594,162,184,392,189,213,324,537,195,544,520
NM_001636|SLC25A6,19270,13340,21697,20828,15442,7630,18403,16943,21235,10644,19365,23099
NM_004043|ASMT,0,3,0,0,0,0,0,0,0,0,0,0
NM_178129|P2RY8,5149,3642,4852,2617,3201,1692,3367,3092,3009,1982,3573,3228
NM_005088|AKAP17A,1670,1136,1699,1120,1124,650,1506,894,126,593,161,1114
NR_027383|AKAP17A,354,505,531,568,471,77,621,655,1825,284,2076,606
NM_001171038|ASMT,12,7,14,2,6,0,0,20,5,0,0,0
NM_001171039|ASMT,13,3,0,0,0,0,0,0,0,0,0,0
NM_004729|ZBED1,0,363,0,960,958,0,1037,859,793,275,681,635
NM_145177|DHRSX,471,353,360,439,306,159,441,369,517,275,321,277
NM_001171136|ZBED1,2742,2339,2164,702,1233,1031,1571,1589,2654,1522,1405,2081
NM_001171135|ZBED1,1148,0,769,14,189,2,259,15,160,1,6,121
NM_001079855|GYG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184702|GYG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184703|GYG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184704|GYG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_003918|GYG2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001669|ARSD,272,153,206,73,133,33,259,113,188,153,252,125
NM_000047|ARSE,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282628|ARSE,0,0,0,0,0,0,0,0,0,5,0,4
NM_001282631|ARSE,0,0,0,0,0,0,0,0,0,0,0,0
NR_106737|MIR6089,0,0,0,0,0,0,0,0,0,0,0,1
NR_033381|CD99P1,117,111,83,42,20,17,47,34,53,36,63,91
NR_033380|CD99P1,27,37,20,9,21,3,31,8,32,11,22,10
NR_037842|LINC00102,3,5,0,0,0,0,4,0,0,0,0,3
NM_002414|CD99,4639,2331,4411,1374,2028,1348,2275,2193,2428,2134,2431,1613
NM_001122898|CD99,59,9,87,18,37,27,46,15,17,0,80,20
NM_001277710|CD99,4,1,2,3,1,4,1,1,3,1,4,3
NR_046643|PRKX-AS1,0,0,0,0,0,0,2,0,0,0,0,0
NM_005044|PRKX,1315,1364,2275,1093,875,765,2099,1359,1382,1592,1390,1861
NR_034031|LOC389906,265,126,292,276,187,108,411,204,255,209,149,244
NM_016379|VCX3A,0,1,0,0,0,0,0,0,0,0,0,0
NM_001282146|NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
NM_020742|NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
NM_181332|NLGN4X,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282145|NLGN4X,64,9,19,2,7,34,20,13,2,0,0,0
NM_013452|VCX,0,2,0,0,0,0,0,0,0,0,0,0
NM_001172672|PNPLA4,0,0,0,0,0,0,0,5,0,0,0,0
NM_004650|PNPLA4,221,210,445,173,141,201,347,147,191,226,164,323
NM_001142389|PNPLA4,10,0,18,55,14,11,0,38,86,10,7,0
NM_001001888|VCX3B,0,0,0,0,0,0,2,0,1,0,0,0
NR_030380|MIR651,0,0,0,0,0,0,0,0,0,0,0,0
NM_016378|VCX2,0,1,2,0,0,0,0,0,0,0,0,0
NM_001178135|PUDP,0,5,8,0,0,4,2,0,4,1,0,2
NR_039924|MIR4767,0,0,0,2,2,0,5,2,1,0,1,1
NM_012080|PUDP,928,1491,2205,1243,1014,995,1432,1048,1167,1432,1113,1854
NM_001135565|PUDP,151,4,10,4,1,134,132,2,122,7,2,173
NM_001178136|PUDP,12,0,14,0,0,0,0,0,0,0,14,0
NM_000351|STS,848,1570,1675,425,639,598,1785,650,536,1089,827,1379
NM_000216|ANOS1,12,3,3,5,10,0,0,9,12,21,0,0
NM_000273|GPR143,0,0,0,0,0,0,0,0,0,1,0,0
NM_001649|SHROOM2,0,0,0,20,0,0,0,2,0,9,0,0
NM_001139468|TBL1X,0,7,0,5,1,4,1,0,3,0,0,7
NM_001139467|TBL1X,176,0,942,0,152,0,8,105,0,0,246,0
NM_001139466|TBL1X,61,0,660,0,242,0,0,98,0,0,169,0
NM_005647|TBL1X,1921,1073,0,604,198,375,1078,825,943,646,385,901
NM_015691|WWC3,761,2208,3275,775,929,788,1921,1144,756,934,118,487
NM_001256944|CLCN4,0,0,0,20,0,6,0,0,61,6,0,0
NM_001830|CLCN4,196,324,200,46,18,109,292,128,8,18,0,33
NM_033289|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001098624|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_033290|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193279|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193280|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193281|MID1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001193277|MID1,10,0,0,0,0,0,0,0,0,0,0,0
NM_000381|MID1,3,27,10,11,2,7,7,8,11,10,7,24
NM_001193278|MID1,1,0,0,0,0,0,0,0,0,0,0,0
NM_001171991|HCCS,0,0,45,0,0,0,16,0,62,18,0,25
NM_005333|HCCS,838,698,692,516,644,203,708,660,969,480,622,630
NM_001122608|HCCS,24,141,59,100,90,92,43,75,117,0,76,0
NM_001142|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NM_182680|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NM_182681|AMELX,0,0,0,0,0,0,0,0,0,0,0,0
NR_049865|MIR548AX,0,0,0,0,0,0,0,0,0,0,0,0
NM_013427|ARHGAP6,210,254,191,248,271,143,145,189,356,259,244,268
NR_109776|ARHGAP6,14,36,13,3,4,4,13,4,3,3,15,15
NM_001287242|ARHGAP6,3,172,138,3,0,0,112,0,1,0,3,110
NM_013423|ARHGAP6,2,0,0,0,2,1,0,0,0,0,0,0
NM_006125|ARHGAP6,50,55,24,13,36,5,33,12,28,9,16,49
NM_001282174|MSL3,0,0,162,56,124,0,122,0,79,55,141,47
